LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Harrow,E09000015,London,11.4,10.3,11.7,11.3,10.3,11.78,11.8,13.6,11.7,14.48
Hartlepool,E06000001,North East,20.3,18.5,11.6,12.2,11.8,12.83,14.7,12.6,10.1,14.75
Hounslow,E09000018,London,10.7,8.8,10.5,10.1,10,11.67,10.8,12.7,11.6,15.36
Ipswich,E07000202,East of England,18.7,15.3,11.8,11.5,9.5,8.86,12.1,12.8,10.6,17.34
Kirklees,E08000034,Yorkshire and the Humber,18.9,17.6,12,11.8,11.6,13.97,13.1,11.4,10.6,16.81
Knowsley,E08000011,North West,19.5,15.3,10.2,10.4,10.7,11.06,14.6,13.9,12.7,15.48
Leeds,E08000035,Yorkshire and the Humber,17.2,16.3,11.6,11.6,11.9,13.5,13.1,11.1,10.3,16.82
Lewisham,E09000023,London,11.2,9.1,8,10,10.5,10.2,10.7,10.9,12.1,18.23
Mansfield,E07000174,East Midlands,19.9,19.5,12.6,9.6,9.3,12.06,12,9.8,10.7,15.38
Mendip,E07000187,South West,15.7,15.7,9.1,11.2,12.4,11.62,9.9,10.7,9.4,10.52
Merton,E09000024,London,9.7,8.3,8.6,9.9,10.6,10.16,9.4,11.1,11.2,14.7
Mid Devon,E07000042,South West,18.6,18.5,10.5,12.8,14.4,13.63,11,11.2,11,11.54
Newark and Sherwood,E07000175,East Midlands,18.9,20.1,12.7,9.5,10.1,11.88,11.5,9.1,11.2,13.88
North East Lincolnshire,E06000012,Yorkshire and the Humber,19.7,18,10.1,10.8,12.3,12.22,12.9,11.5,10.1,16.7
North Warwickshire,E07000218,West Midlands,19.7,14.7,11.8,10.7,10.3,11.87,11.2,9.8,10.6,16.22
Norwich,E07000148,East of England,17.5,14,12.2,11.5,10.5,9.88,12.3,12.9,11.1,18.74
Oadby and Wigston,E07000135,East Midlands,15.6,16.1,11.9,9.6,8.2,11.98,9.6,8.2,8.9,10.2
Oldham,E08000004,North West,19.8,15.8,11.2,10.7,10.7,12.05,11.8,12.9,11.7,15.22
Oxford,E07000178,South East,12.6,11.1,12.4,11.9,11.9,12.83,11.9,11.7,10.5,9.85
Plymouth,E06000026,South West,14,12.8,10.3,13.4,12.8,12.03,11.8,13,10.3,12.35
Portsmouth,E06000044,South East,12.5,10.3,10.7,12.3,11.8,14.46,12.3,12.1,10.8,10.71
Reading,E06000038,South East,12,9.8,10.7,11.2,10.8,13.86,11.9,10.9,9,10.3
Redbridge,E09000026,London,11.5,9.9,10.8,11.5,10.6,11.47,11.3,13.7,12.7,15.43
Redcar and Cleveland,E06000003,North East,20.9,19.2,11.4,12.1,11.8,12.76,14.3,12.1,10.3,14.42
Redditch,E07000236,West Midlands,16.5,11.9,10.4,9.7,9,10.46,10.6,9.3,8.3,14.59
Rochdale,E08000005,North West,20,16.4,11.5,11.3,11.4,12.35,12.8,13.6,12.2,15.73
Rossendale,E07000125,North West,21,18.2,10.7,10.3,11.1,12.18,12.2,12.1,11.3,14.84
Rugby,E07000220,West Midlands,19.8,15.8,12.4,10.9,10.4,11.82,11.1,10.3,9.2,14.65
Rutland,E06000017,East Midlands,15.5,18.4,11.9,9.3,10.6,11.33,10.3,8,10.9,11.74
Salford,E08000006,North West,20.9,16.4,10.7,9.9,10.8,11.43,12.3,12.8,11.2,15.61
Sefton,E08000014,North West,20.9,19.1,11.4,10.9,11.2,10.94,12.7,13.1,12.5,13.77
Sheffield,E08000019,Yorkshire and the Humber,18.3,17.6,11.3,10.9,12.4,12.32,12.2,10.7,10.4,17.46
Slough,E06000039,South East,10.4,7.7,10,10.1,8.2,12.7,11,10.1,8.9,9.33
Solihull,E08000029,West Midlands,17.7,13.8,10.7,10.1,9.1,10.57,9.8,9.2,8.2,12.48
South Hams,E07000044,South West,18.3,19.6,10.2,12.2,13.2,12.41,10.1,11.2,10.8,9.44
South Holland,E07000140,East Midlands,19.8,19.3,10.5,7.9,8.9,11.63,11.8,7.7,11.6,14.31
South Staffordshire,E07000196,West Midlands,17.6,14.2,10.5,9.9,9.2,10.73,10.4,9.2,9.2,12.43
South Tyneside,E08000023,North East,21.3,18.2,11,11.3,11.8,12.27,13.2,11.2,8.7,14.74
Southampton,E06000045,South East,11.9,9.7,10.1,10.3,9.8,12.44,11.6,11.5,10.4,10.71
St. Helens,E08000013,North West,20,16.5,10.1,9.7,10.3,10.9,12.7,12.4,11.3,14.15
Stafford,E07000197,West Midlands,20.2,16.4,12.4,11.2,11,12.5,11.5,10.1,9.9,14.27
Tameside,E08000008,North West,19.7,16.2,10.4,9.8,10.2,11.89,11.8,11.8,10.7,14.66
Tamworth,E07000199,West Midlands,16.1,11.4,10.1,10.1,9.3,10.76,11.1,9.7,8.8,14.4
Telford and Wrekin,E06000020,West Midlands,16.7,12.9,11,10.8,10.1,11.65,12.1,11,9.4,15.56
Tendring,E07000076,East of England,21.5,19.2,8.6,9.4,8,7.38,10.6,11.4,10.9,15.27
Thanet,E07000114,South East,16.8,14.7,10.1,10.3,10.1,11.28,11.4,12.3,10.7,10.55
Watford,E07000103,East of England,15.2,12.3,10.3,10.2,8.6,7.98,10.3,10.2,8.5,13.73
West Lindsey,E07000142,East Midlands,20.3,22.3,12.8,9.9,11,12.74,12.2,9.3,12.8,14.4
Wigan,E08000010,North West,19.8,16,9.4,9.1,9.9,10.94,12.2,11.9,10.8,14.22
Wirral,E08000015,North West,20.5,18.5,11.2,10.6,10.9,11.18,13.1,13.5,12.2,13.86
Worcester,E07000237,West Midlands,18.1,13.8,13.1,12.1,10.7,12.11,12.7,11.1,9.9,15.44
Wyre Forest,E07000239,West Midlands,19.9,15.3,13.5,12.2,11.1,12.58,12.5,11.2,10.4,15.5
York,E06000014,Yorkshire and the Humber,16.1,15.7,9.1,9,10.7,11.55,10.5,8.9,8.5,13.49
