,LACode,LAName,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,Cluster_5,geography,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
118,E07000099,North Hertfordshire,East of England,13.9,12.1,8.4,8.2,8,7.34,8.5,8.8,7.8,12.11,4,4,4,3,2,1,3,3,2,5,2,North Hertfordshire,10.07363469,6.30693708,1.671470819,2.4,5.6,19.28648972,13.08913263,10.50946395,3.170740838
300,E09000027,Richmond upon Thames,London,10,9.5,7.6,7.7,9.5,7.38,6.9,9.4,9.9,10.61,1,2,3,2,5,1,1,4,5,3,2,Richmond upon Thames,8.45071929,4.886357559,2.574058997,2.3,5.2,12.58971629,21.84505543,14.04620568,3.148994802
185,E07000176,Rushcliffe,East Midlands,14.8,16.9,11.5,8.7,8.6,9.98,10,7.7,8.8,9.86,4,7,8,4,3,4,5,2,3,3,2,Rushcliffe,10.61019176,6.78490763,1.411585033,2.4,6.2,8.408421512,13.26933566,6.861395315,2.299552744
178,E07000169,Selby,Yorkshire and the Humber,14.9,14.6,7,6.9,9.4,9.17,8.8,7.1,8.3,13.19,4,5,2,1,4,3,3,1,3,6,2,Selby,10.51540462,7.213986986,1.866373448,2.4,5.9,12.04027894,10.98411412,1.644117964,3.249515322
127,E07000111,Sevenoaks,South East,11.9,11.2,7.9,7.7,8.7,7.97,8.2,8.2,7.3,6.67,3,3,3,2,3,2,2,2,2,1,2,Sevenoaks,10.39662991,6.283237447,1.811994896,2.4,6,13.22415993,10.75499787,4.233504217,3.075287112
58,E07000012,South Cambridgeshire,East of England,12.8,12.4,7.3,7.1,7.9,7.24,8,8,8.3,10.31,3,4,2,1,2,1,2,2,3,3,2,South Cambridgeshire,10.07764445,5.560149239,1.514342895,2.4,6.2,14.25283522,11.9646431,6.700951229,2.136424283
170,E07000155,South Northamptonshire,East Midlands,13.5,15.4,10.1,8.1,9.5,10.32,9,6.8,9.7,10.49,4,6,6,3,5,5,3,1,5,3,2,South Northamptonshire,10.27480074,5.750742467,1.797390328,2.4,6.3,10.09591843,11.06086355,3.071992863,2.082553216
141,E07000126,South Ribble,North West,16.6,14.9,7.9,7.9,7.8,9.93,10.5,9.5,9.3,10.75,6,5,3,3,2,4,5,5,4,3,2,South Ribble,11.45456046,8.460713205,3.101817709,2.3,5.8,10.50930545,9.344496985,2.943414911,3.700490217
301,E09000028,Southwark,London,9.2,7.3,6.4,8,8.9,8.75,8.8,9.1,9.9,14.64,1,1,1,3,4,3,3,4,5,7,2,Southwark,7.18911625,6.583114509,3.241932537,2.3,4.2,43.71626447,23.66095896,45.76544576,8.539137367
234,E07000240,St. Albans,East of England,13.4,12.5,8,7.9,7.2,6.59,7.8,8.3,6.9,9.29,4,4,3,3,2,1,1,3,1,2,2,St Albans,9.50776318,5.414320651,1.353758461,2.5,5.8,12.16957606,13.58033488,11.57652278,2.499109369
