LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gateshead,E08000037,North East,0.23,0.19,11,10.9,11.2,12.65,12.8,10.8,8.6,15.07
Malvern Hills,E07000235,West Midlands,0.24,0.22,15.2,12.6,14.1,15.55,12.6,11.3,12.2,15.11
Preston,E07000123,North West,0.2,0.17,13,12.9,12.4,13.99,14.1,15.1,13.4,15.11
Ashfield,E07000170,East Midlands,0.19,0.18,12.5,9.5,9.3,11.86,11.8,9.3,10.6,15.21
Peterborough,E06000031,East of England,0.16,0.13,9.6,9.7,8.5,7.75,10.6,11.4,9.5,15.21
Oldham,E08000004,North West,0.2,0.16,11.2,10.7,10.7,12.05,11.8,12.9,11.7,15.22
Sunderland,E08000024,North East,0.21,0.19,11.7,12.4,12.7,13.99,15.3,12.6,9.2,15.26
Tendring,E07000076,East of England,0.22,0.19,8.6,9.4,8,7.38,10.6,11.4,10.9,15.27
East Lindsey,E07000137,East Midlands,0.24,0.25,13.2,10.4,11.5,12.75,12.8,10.1,14.4,15.28
Hounslow,E09000018,London,0.11,0.09,10.5,10.1,10,11.67,10.8,12.7,11.6,15.36
Lincoln,E07000138,East Midlands,0.19,0.19,15.2,11.9,11.6,14.64,13.3,10.6,11,15.36
Craven,E08000026,Yorkshire and the Humber,0.23,0.24,16.3,15.9,13,14.42,15.3,14.7,12.1,15.37
Mansfield,E07000174,East Midlands,0.2,0.2,12.6,9.6,9.3,12.06,12,9.8,10.7,15.38
Redbridge,E09000026,London,0.12,0.1,10.8,11.5,10.6,11.47,11.3,13.7,12.7,15.43
Worcester,E07000237,West Midlands,0.18,0.14,13.1,12.1,10.7,12.11,12.7,11.1,9.9,15.44
Knowsley,E08000011,North West,0.2,0.15,10.2,10.4,10.7,11.06,14.6,13.9,12.7,15.48
Wyre Forest,E07000239,West Midlands,0.2,0.15,13.5,12.2,11.1,12.58,12.5,11.2,10.4,15.5
Durham UA,E08000027,North East,0.22,0.2,14.3,12.8,10.4,11.84,13.3,11.7,10.6,15.52
Hyndburn,E07000120,North West,0.22,0.19,13.2,14,13,14.42,14.1,15.4,13.1,15.56
Telford and Wrekin,E06000020,West Midlands,0.17,0.13,11,10.8,10.1,11.65,12.1,11,9.4,15.56
Derby,E07000151,East Midlands,0.19,0.19,10.6,8.5,10.6,10.61,9.6,7.4,10.2,15.58
Salford,E08000006,North West,0.21,0.16,10.7,9.9,10.8,11.43,12.3,12.8,11.2,15.61
Copeland,E07000029,North West,0.22,0.19,10.5,9.8,11.2,10.9,12.1,11.7,13.6,15.71
Rochdale,E08000005,North West,0.2,0.16,11.5,11.3,11.4,12.35,12.8,13.6,12.2,15.73
Lambeth,E09000022,London,0.11,0.08,7.5,9.2,10.8,10.05,8.9,10.3,11.2,15.78
North Norfolk,E07000147,East of England,0.24,0.22,11.2,10.4,12,11.25,11.1,11.6,13.5,15.78
Fenland,E07000010,East of England,0.19,0.16,8.2,7.9,7.5,6.96,10.8,10.1,10.8,15.81
Luton,E06000032,East of England,0.17,0.14,13.4,13.4,9.6,8.89,11.8,13.9,11.6,16.05
Nuneaton and Bedworth,E07000219,West Midlands,0.2,0.14,11.9,11.1,9.8,11.25,12,10.8,9.6,16.05
Cannock Chase,E07000192,West Midlands,0.19,0.14,11.1,10.2,9.1,10.51,12.5,10.8,9.9,16.06
North Lincolnshire,E06000013,Yorkshire and the Humber,0.19,0.17,8.6,8.2,10.2,10.85,11.1,9.1,9.8,16.09
Ryedale,E07000167,Yorkshire and the Humber,0.25,0.26,11.9,10.6,15.9,13.31,11.2,10,11.7,16.13
